sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;417,10;417,50;418,70;420,00;415,00;417,50;416,84;30565;12753754,65;432;
2014-12-29;418,70;419,00;419,00;421,50;417,00;418,70;418,69;25591;10714809,9;425;
2014-12-23;419,30;419,70;420,00;422,00;415,20;419,40;418,48;90208;37825894;749;
2014-12-22;418,90;419,00;412,50;421,00;412,40;418,90;416,60;58291;24283790,3;689;
2014-12-19;412,50;412,90;413,00;413,00;406,30;412,50;410,64;43503;17864061;644;
2014-12-18;410,70;411,70;406,00;412,90;405,30;410,80;410,30;87657;35964756,844;541;
2014-12-17;402,90;403,30;397,70;403,50;397,70;403,30;400,67;48669;19500270,9;603;
2014-12-16;400,20;401,00;405,00;405,30;395,00;400,20;398,88;72062;28743638;1006;
2014-12-15;404,60;404,70;408,00;412,00;404,60;404,60;409,21;73294;30006963,9;895;
2014-12-12;408,50;409,30;409,10;413,50;405,00;408,50;410,82;100214;41169844,7;896;
2014-12-11;411,30;411,40;406,60;412,00;406,60;411,30;409,54;50516;20688431,7;741;
2014-12-10;409,50;409,60;408,00;413,20;408,00;409,50;410,96;135637;55741381,4;573;
2014-12-09;407,30;407,50;408,70;410,00;406,00;407,30;407,69;45949;18733394,1;659;
2014-12-08;408,50;408,60;407,90;410,00;406,00;408,50;408,34;21708;8864157,4;307;
2014-12-05;407,30;407,70;406,50;410,00;405,50;407,30;408,07;42946;17525097,7;686;
2014-12-04;401,70;401,80;409,90;409,90;400,30;401,70;403,18;41990;16927827,43;696;
2014-12-03;409,50;409,90;409,80;410,40;406,00;409,50;409,55;62611;25642158,8;481;
2014-12-02;408,30;408,60;408,80;412,00;406,00;408,60;408,93;33874;13851824,05;572;
2014-12-01;410,00;410,10;409,90;410,30;403,40;410,00;407,96;28329;11552722,9;550;
2014-11-28;410,00;410,70;411,10;411,50;408,80;410,00;409,90;36762;15068589;482;
2014-11-27;410,30;411,00;404,00;411,00;404,00;411,00;409,58;53805;22037397,6;531;
2014-11-26;404,90;405,00;411,00;411,00;403,60;405,00;406,66;28620;11638635,5;445;
2014-11-25;410,90;411,00;410,00;412,00;407,90;411,00;410,47;50920;20900926,9;697;
2014-11-24;409,50;409,80;404,50;410,00;402,60;409,50;406,34;54568;22173865,7;560;
2014-11-21;404,50;404,90;401,60;404,80;399,10;404,80;401,66;46849;18817108;489;
2014-11-20;401,50;402,40;402,10;406,30;398,70;402,40;400,87;40948;16414916,3;578;
2014-11-19;403,00;403,20;405,80;405,80;401,60;403,00;403,67;42664;17222271,8;440;
2014-11-18;407,20;407,30;406,50;409,20;406,50;407,30;407,33;19580;7975596,4;333;
2014-11-17;405,60;406,20;408,00;408,00;403,70;406,20;405,55;37786;15324273,8;568;
2014-11-14;407,90;408,00;413,50;413,50;406,20;407,90;409,23;40869;16724858,4;603;
2014-11-13;411,60;412,20;407,80;416,10;407,10;411,60;412,45;47291;19505354;954;
2014-11-12;406,00;406,40;409,10;409,90;406,00;406,00;406,48;55837;22696419,35;712;
2014-11-11;407,60;408,00;409,30;411,40;406,20;408,00;408,38;44571;18201968,2;512;
2014-11-10;406,10;406,20;407,40;410,00;403,50;406,10;407,11;60887;24787717;877;
2014-11-07;405,50;406,00;409,50;409,50;402,00;406,00;404,10;72406;29259342,35;827;
2014-11-06;406,50;406,70;402,80;408,00;398,70;406,70;404,52;45037;18217687,6;654;
2014-11-05;402,60;402,80;401,10;404,00;401,10;402,80;402,21;49862;20055307,9;648;
2014-11-04;400,60;401,00;396,50;403,00;395,50;400,70;399,04;49270;19660544,4;855;
2014-11-03;396,00;396,90;401,00;401,00;396,00;396,00;398,19;42621;16971371,4;656;
2014-10-31;399,50;401,50;401,00;401,00;399,00;400,30;399,84;62084;24827630,7;440;
2014-10-30;397,40;397,50;396,50;400,00;394,70;397,40;397,35;55259;21957350;1008;
2014-10-29;395,40;395,50;404,00;410,00;392,00;395,40;397,34;61595;24469454,8;888;
2014-10-28;384,50;385,60;380,50;385,90;377,90;384,50;383,59;25672;9847495,5;414;
2014-10-27;381,50;382,10;378,50;383,90;374,70;381,50;378,95;66439;25177142,4;805;
2014-10-24;375,70;376,50;381,90;382,00;374,40;376,50;376,29;66254;24930406;773;
2014-10-23;380,20;380,40;386,00;389,00;379,60;380,40;382,40;36767;14060841,5;517;
2014-10-22;386,00;387,00;382,00;391,00;376,50;386,00;385,76;147727;56980975,3;1097;
2014-10-21;374,70;374,80;364,90;375,50;362,70;374,70;371,58;87815;32634693;836;
2014-10-20;364,50;364,80;366,60;366,60;359,30;364,80;363,23;57707;20961063,5;1037;
2014-10-17;362,00;362,40;348,00;362,40;347,00;362,40;356,57;55536;19802715,7;1069;
2014-10-16;346,20;346,50;352,10;357,10;340,50;346,40;349,86;227986;79756795,65;816;
2014-10-15;352,00;352,20;352,80;356,10;350,00;352,00;352,54;89148;31423648,5;771;
2014-10-14;351,00;351,80;347,10;353,00;347,10;351,00;350,35;76757;26891522,4;1026;
2014-10-13;349,70;350,00;350,90;356,90;347,00;350,00;351,90;58680;20659798,7;836;
2014-10-10;351,60;352,10;350,30;353,30;345,80;352,00;350,13;65493;22930829,5;788;
2014-10-09;354,60;354,90;360,00;364,90;353,00;354,90;358,76;54318;19487267,499;839;
2014-10-08;355,60;356,00;354,00;360,50;352,90;356,00;357,34;95550;34135331,31;1249;
2014-10-07;354,00;354,20;362,30;363,00;354,20;354,20;356,11;52809;18805180,3;753;
2014-10-06;361,70;362,30;361,00;366,90;360,50;362,30;363,54;108745;39533394,2;1078;
2014-10-03;360,80;361,00;364,50;368,10;360,10;360,80;363,51;83367;30267187,75;584;
2014-10-02;363,50;364,20;372,00;372,10;363,40;364,20;368,14;53192;19582056,8;553;
2014-10-01;372,00;372,10;376,00;378,80;370,00;372,10;374,84;79559;29817671;1003;
2014-09-30;377,00;378,00;380,40;380,40;377,00;377,00;378,06;40398;15272903,6;570;
2014-09-29;379,70;380,40;383,50;385,00;377,50;380,40;379,97;21121;8025171,9;390;
2014-09-26;383,40;383,50;382,60;385,10;380,00;383,40;383,08;23705;9092389,909;302;
2014-09-25;383,70;384,50;386,60;387,30;382,50;384,50;385,78;33637;12976390,8;415;
2014-09-24;385,50;385,70;393,00;394,00;377,00;385,50;386,32;43822;16929596,05;644;
2014-09-23;392,70;393,30;397,00;397,00;392,10;393,30;393,42;26421;10394234,7;355;
2014-09-22;395,40;396,50;400,60;402,10;395,50;395,90;398,09;29650;11808626;412;
2014-09-19;400,20;400,40;398,50;404,50;396,20;400,40;401,17;40959;16430006,5;645;
2014-09-18;398,80;399,50;395,50;400,00;395,10;399,00;398,17;20624;8211728,51;435;
2014-09-17;397,90;398,70;397,80;402,40;397,80;397,90;399,06;25455;10158129,4;701;
2014-09-16;399,70;400,50;399,00;400,80;397,00;400,30;399,14;22216;8867334,65;509;
2014-09-15;398,70;399,00;397,20;400,10;396,00;399,00;398,87;15287;6097452,4;434;
2014-09-12;399,60;399,80;398,00;400,00;393,10;399,60;397,03;66910;26566270,415;533;
2014-09-11;397,70;398,00;403,20;403,20;394,40;398,00;398,73;15673;6249271,4;372;
2014-09-10;403,20;404,00;405,00;405,00;400,00;403,20;402,17;9354;3761921,5;279;
2014-09-09;405,10;405,60;409,00;409,00;404,00;405,60;407,13;53127;21629753,5;430;
2014-09-08;409,00;409,30;411,50;412,00;408,00;409,00;409,21;71483;29248784,51;384;
2014-09-05;411,50;412,20;410,70;415,50;410,70;411,50;412,94;16715;6902165,95;367;
2014-09-04;413,30;413,90;414,10;415,40;410,60;413,90;413,22;14498;5991604,75;227;
2014-09-03;414,40;415,50;412,00;417,50;412,00;415,40;414,13;12686;5252708,1;225;
2014-09-02;411,60;413,00;409,60;416,00;408,10;411,60;413,55;25955;10732069,3;342;
2014-09-01;409,60;411,00;409,00;412,40;406,30;409,60;409,67;10565;4327652,1;306;
2014-08-29;409,00;409,80;417,50;417,50;408,50;409,80;411,20;25639;10543518,15;348;
2014-08-28;413,70;414,30;417,70;417,70;411,40;413,70;414,47;74252;30793515,7;427;
2014-08-27;417,30;418,00;415,80;421,00;413,20;417,30;418,56;26694;11172349,3;600;
2014-08-26;415,00;415,80;413,20;416,80;409,60;415,00;415,07;11247;4668329,9;293;
2014-08-25;413,20;414,50;406,80;415,00;406,80;413,20;413,38;15176;6273940,3;203;
2014-08-22;405,00;407,00;412,80;414,00;405,00;405,00;408,59;13411;5479592,8;313;
2014-08-21;411,50;413,00;409,00;413,90;409,00;411,50;412,11;20845;8591245,15;388;
2014-08-20;409,00;410,80;414,10;414,10;406,50;409,00;410,03;33475;13725613,7;473;
2014-08-19;413,00;415,00;405,00;420,00;405,00;413,00;413,47;44786;18517602,5;741;
2014-08-18;401,80;403,90;398,00;403,40;397,00;401,80;399,64;19724;7882588,1;489;
2014-08-15;396,50;397,90;398,80;399,10;395,70;397,90;397,84;31890;12687059,1;426;
2014-08-14;397,70;399,10;399,80;399,80;397,50;399,10;398,44;19771;7877543,8;228;
2014-08-13;398,80;400,00;400,50;401,00;398,00;398,90;399,58;27147;10847472,2;387;
2014-08-12;400,50;401,30;395,00;403,40;395,00;400,50;399,36;51809;20699894,45;565;
2014-08-11;396,60;397,50;390,00;401,50;390,00;397,50;397,10;49162;19522354,1;436;
2014-08-08;388,50;389,50;391,00;391,60;388,00;388,50;389,35;78901;30720400,9;678;
2014-08-07;393,00;393,50;394,00;394,50;392,50;393,00;392,95;44733;17577672,8;362;
2014-08-06;393,00;393,50;396,00;396,10;390,40;393,30;393,84;47213;18593669,55;783;
2014-08-05;397,10;397,50;395,10;397,80;394,00;397,10;396,74;26906;10674615,7;470;
2014-08-04;393,00;394,50;389,70;396,90;389,70;394,00;393,90;28271;11135842,5;463;
2014-08-01;392,00;392,10;393,00;393,90;388,50;392,00;391,73;33014;12931944,15;411;
2014-07-31;393,40;395,40;396,20;396,70;393,40;393,40;394,51;33857;13357882,4;483;
2014-07-30;396,60;396,80;398,50;399,40;395,50;396,80;396,83;15907;6312011,3;304;
2014-07-29;397,10;397,40;397,80;398,50;396,00;397,40;397,37;19381;7702190,8;340;
2014-07-28;396,00;396,80;401,00;401,00;396,00;396,00;398,76;30505;12163540,28;502;
2014-07-25;400,90;401,50;406,90;406,90;399,50;401,50;402,36;28693;11542563,65;441;
2014-07-24;406,50;407,10;410,00;410,00;405,20;406,50;407,11;20940;8524943,6;520;
2014-07-23;407,10;407,90;411,00;411,00;405,00;407,10;407,83;15549;6341477,4;272;
2014-07-22;408,00;408,50;407,00;410,40;402,10;408,00;406,13;26511;10766204;550;
2014-07-21;405,40;406,00;414,50;414,60;402,20;406,00;407,46;30396;12385165,5;663;
2014-07-18;412,20;412,30;423,50;423,50;411,50;412,20;416,37;34364;14308276,3;712;
2014-07-17;423,50;424,00;433,80;437,50;423,50;423,50;429,32;49205;21124615,7;838;
2014-07-16;437,20;438,00;437,00;442,00;435,60;438,00;438,06;35374;15482601,608;450;
2014-07-15;436,00;436,80;434,30;437,50;428,50;436,70;435,52;23519;10243284,95;579;
2014-07-14;436,50;437,50;431,50;437,50;431,50;437,50;435,84;13983;6094375;378;
2014-07-11;431,50;431,60;431,00;433,60;430,00;431,50;431,51;11925;5145545,4;380;
2014-07-10;430,80;431,10;433,60;434,60;430,00;430,80;431,92;27116;11711515,1;415;
2014-07-09;433,60;434,30;441,00;441,00;431,30;433,60;436,05;26270;11419545,6;324;
2014-07-08;440,70;441,00;440,20;443,30;439,00;441,00;441,27;23631;10427588,8;347;
2014-07-07;442,50;443,80;441,80;443,80;439,30;443,30;442,12;13565;5997294,9;307;
2014-07-04;441,00;441,20;443,00;443,80;441,00;441,00;442,18;32594;14407545,1;178;
2014-07-03;442,00;442,40;441,00;445,40;441,00;442,40;443,10;18866;8359066,2;335;
2014-07-02;441,00;441,10;445,00;446,50;441,00;441,00;443,03;17467;7738456;449;
2014-07-01;445,10;445,80;444,20;446,00;442,70;445,80;444,89;12639;5623014,9;297;
2014-06-30;446,30;446,50;440,10;447,00;438,00;446,50;443,35;29679;13158061,5;471;
2014-06-27;439,60;440,50;440,50;440,50;436,50;440,50;439,32;14656;6438670,8;238;
2014-06-26;437,50;438,10;437,00;440,00;436,00;438,00;437,64;19301;8446961,2;246;
