sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;165,80;165,90;168,30;169,00;165,70;165,90;167,10;1531713;255950268,9;1957;
2014-12-29;169,00;169,20;167,70;169,80;167,50;169,20;168,88;1775424;298460291,8;2655;
2014-12-23;167,40;167,50;166,60;167,80;165,80;167,40;167,18;1642079;265367558;1654;
2014-12-22;166,40;166,50;164,90;167,20;164,70;166,50;166,24;1895793;314977010,4;2724;
2014-12-19;164,70;164,80;163,90;165,00;162,80;164,80;164,02;2646967;434153428,5;3470;
2014-12-18;162,00;162,20;161,00;162,80;159,60;162,10;161,30;2190668;353355219,3;2761;
2014-12-17;159,70;159,80;158,30;160,00;157,80;159,70;159,22;2581564;411027104,3;3516;
2014-12-16;159,90;160,00;157,00;160,10;155,10;159,90;157,24;3849979;605178722,5;4713;
2014-12-15;156,60;156,70;157,30;158,60;156,60;156,70;157,52;1859797;292929075,25;2657;
2014-12-12;157,40;157,50;159,50;159,70;157,40;157,40;158,34;1839307;291241372,1;2384;
2014-12-11;160,20;160,30;159,80;160,70;158,80;160,30;159,79;1547255;247231900,45;2304;
2014-12-10;160,10;160,20;162,10;162,10;159,90;160,20;160,95;1913010;307908982,5;2695;
2014-12-09;161,90;162,00;162,50;162,60;160,50;162,00;161,52;2050566;331217921,4;3281;
2014-12-08;163,80;164,00;164,10;164,50;163,50;164,00;163,95;1143743;187512252,25;1886;
2014-12-05;164,40;164,50;163,20;164,60;162,50;164,50;163,69;2475012;405133109,9;3850;
2014-12-04;164,30;164,40;166,00;166,30;164,00;164,40;164,82;2188274;360680978;2625;
2014-12-03;165,20;165,30;164,60;165,60;164,30;165,30;164,94;1237142;204058585,2;2087;
2014-12-02;164,30;164,40;164,40;165,40;163,50;164,30;164,56;1879641;309312144,6;2617;
2014-12-01;163,40;163,50;165,70;166,00;162,90;163,50;164,03;2841885;466141785,6;3830;
2014-11-28;167,40;167,50;169,90;169,90;165,90;167,50;166,94;1963493;327817084,2;2771;
2014-11-27;169,50;169,60;169,40;169,90;168,80;169,60;169,42;966293;163711970,2;1403;
2014-11-26;169,30;169,40;170,70;171,50;168,60;169,30;169,96;1498746;254731404,9;2373;
2014-11-25;170,60;170,70;170,30;171,90;169,90;170,60;171,01;1451565;248233327,8;1894;
2014-11-24;170,40;170,50;169,60;170,70;169,50;170,50;170,27;1630429;277428757,9;2059;
2014-11-21;169,90;170,00;167,50;170,00;167,50;170,00;169,03;1798895;304074773,1;2537;
2014-11-20;166,90;167,00;166,80;167,30;166,10;166,90;166,72;993284;165604927,7;1294;
2014-11-19;166,80;166,90;167,00;167,80;166,30;166,90;167,11;945448;157992596,65;1250;
2014-11-18;166,80;166,90;166,00;167,10;165,70;166,80;166,61;1827820;304528692,1;1567;
2014-11-17;165,80;165,90;164,20;166,00;164,20;165,80;165,43;1159701;191851424,7;1859;
2014-11-14;165,10;165,20;165,80;165,80;163,20;165,20;164,39;1556971;255946187,3;2288;
2014-11-13;166,70;166,80;165,80;167,00;165,20;166,80;166,26;1772103;294638065,65;2445;
2014-11-12;165,00;165,10;165,80;166,10;164,10;165,00;164,88;1476637;243460579,9;1767;
2014-11-11;165,70;165,90;165,40;166,00;164,10;165,90;165,00;1076540;177630768,5;1592;
2014-11-10;165,90;166,00;164,40;166,20;163,40;166,00;165,45;1167966;193239006,3;1910;
2014-11-07;164,30;164,40;164,90;165,70;163,80;164,40;164,60;1437358;236585803,1;1785;
2014-11-06;164,50;164,60;162,80;165,80;162,70;164,50;164,61;2174411;357890760,7;3180;
2014-11-05;163,10;163,20;160,80;163,20;160,50;163,20;161,95;1783376;288825138,2;2285;
2014-11-04;160,30;160,40;160,70;162,10;160,00;160,40;161,13;1608026;259103564,95;2271;
2014-11-03;160,70;160,80;161,90;163,00;160,50;160,70;161,80;1501787;242995404,2;2415;
2014-10-31;162,30;162,40;161,30;162,50;160,00;162,40;161,12;1307570;210677859,2;1625;
2014-10-30;159,10;159,20;159,30;159,90;157,50;159,10;158,83;1594940;253322436,2;2237;
2014-10-29;158,60;158,70;159,50;161,00;158,50;158,60;159,98;2237661;357978129,75;3222;
2014-10-28;158,70;158,90;155,40;159,60;155,40;158,70;158,25;2536194;401341481,05;3415;
2014-10-27;154,90;155,00;155,50;156,10;154,20;155,00;155,16;1756976;272616877,1;2335;
2014-10-24;154,40;154,50;155,70;155,70;154,00;154,50;154,65;1563688;241816912,7;2317;
2014-10-23;155,60;155,80;154,30;155,90;153,00;155,80;154,75;1993752;308529480,3;2728;
2014-10-22;154,60;154,70;154,10;156,00;152,90;154,70;154,47;3328997;514600197,75;5019;
2014-10-21;150,60;150,70;147,00;150,90;146,50;150,60;149,55;2367516;354546845,4;3382;
2014-10-20;147,70;147,80;147,60;149,30;146,80;147,70;148,21;2096572;310819058,85;3156;
2014-10-17;147,80;147,90;146,10;148,30;145,10;147,80;147,08;3273358;481417871,665;4201;
2014-10-16;145,90;146,00;146,00;148,70;142,10;145,90;144,87;3326019;481852295,6;4585;
2014-10-15;145,70;145,80;150,00;150,30;144,60;145,70;147,16;2746119;404334991,1;3500;
2014-10-14;149,90;150,00;146,80;150,20;145,90;150,00;148,32;2330310;345560971,15;3533;
2014-10-13;147,80;147,90;147,10;149,70;145,20;147,80;147,82;2433571;359733733,1;3148;
2014-10-10;148,20;148,30;151,10;151,30;147,80;148,20;148,99;3454585;514258773;3649;
2014-10-09;152,20;152,30;154,50;155,10;151,70;152,30;153,30;1947525;298551611,8;2567;
2014-10-08;153,20;153,30;154,90;155,20;152,70;153,30;154,02;2145778;330489979,65;3020;
2014-10-07;155,50;155,60;157,60;157,90;154,60;155,60;155,72;2019816;314767215,5;2576;
2014-10-06;157,80;157,90;157,80;159,00;157,00;157,90;158,01;1604032;253454161,2;2260;
2014-10-03;157,20;157,30;157,10;157,70;156,50;157,30;157,17;1184684;186201146,1;1707;
2014-10-02;156,90;157,00;160,00;160,00;156,80;156,90;158,05;2088954;330156108,6;2736;
2014-10-01;160,50;160,60;161,90;162,20;160,40;160,50;160,99;1724674;277646856,7;2340;
2014-09-30;162,20;162,30;163,20;163,30;161,60;162,30;162,27;1934499;313946317,45;2396;
2014-09-29;163,40;163,50;163,50;164,00;162,90;163,50;163,33;1199395;195892497;1678;
2014-09-26;164,00;164,10;162,90;165,00;162,30;164,00;163,99;1153426;189175521;1561;
2014-09-25;163,10;163,20;163,90;165,20;162,90;163,10;163,98;1536249;251980985;1815;
2014-09-24;163,50;163,60;164,30;164,60;162,60;163,60;163,39;4158296;663906569;1953;
2014-09-23;164,20;164,30;164,00;164,60;163,20;164,30;163,90;2314658;376665550,95;2669;
2014-09-22;164,00;164,20;163,80;165,10;163,50;164,10;164,39;1341527;220456601,4;1787;
2014-09-19;164,40;164,50;164,90;164,90;164,10;164,40;164,55;1188745;195603923,05;2213;
2014-09-18;163,90;164,00;163,60;164,40;163,40;163,90;163,94;1851505;303544483,5;2353;
2014-09-17;163,70;163,80;164,00;164,40;163,60;163,80;164,07;1236568;202887773,75;1911;
2014-09-16;163,60;163,70;162,60;163,70;161,90;163,60;163,09;1258120;205180879,8;1700;
2014-09-15;162,40;162,50;162,80;163,70;162,00;162,40;162,81;1073751;174852201,1;1504;
2014-09-12;163,00;163,10;162,90;163,60;162,60;163,10;163,14;1513916;246982993,8;2335;
2014-09-11;162,20;162,30;163,10;163,30;161,20;162,20;162,32;1794019;291204836,6;2655;
2014-09-10;162,00;162,10;164,20;164,30;162,00;162,10;162,87;1556798;253553516,9;2260;
2014-09-09;164,10;164,30;166,20;167,80;164,10;164,10;165,93;3982599;660854602,8;5446;
