sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;148,30;148,40;150,00;150,20;148,20;148,30;148,87;973838;144972590,2;1900;
2014-12-29;150,20;150,30;151,70;152,10;149,70;150,30;150,71;1054477;159109441,9;2492;
2014-12-23;151,70;151,80;150,20;151,90;149,80;151,70;151,32;997978;151666331,1;2047;
2014-12-22;149,90;150,00;149,20;150,60;149,10;150,00;149,87;1238988;185679293,5;2490;
2014-12-19;149,00;149,10;148,10;149,40;147,10;149,00;148,25;1932264;286457251,3;3190;
2014-12-18;147,40;147,50;146,40;147,50;145,10;147,40;146,65;1714970;251502347;3390;
2014-12-17;144,90;145,00;144,00;145,00;141,90;145,00;144,39;2086075;301213919,2;4761;
2014-12-16;144,60;144,70;140,60;144,70;138,70;144,70;141,46;2671700;377925906,4;5656;
2014-12-15;140,20;140,30;140,20;144,80;139,90;140,30;141,75;2441267;346008966,45;4630;
2014-12-12;139,80;139,90;141,30;141,70;139,60;139,80;140,43;1859111;261090221,4;3443;
2014-12-11;141,80;142,00;143,30;145,30;140,70;141,90;142,20;2430663;345599583;4791;
2014-12-10;143,20;143,30;145,80;145,80;142,70;143,30;144,07;2059188;296655436,45;4119;
2014-12-09;144,80;145,00;146,70;146,70;143,60;145,00;144,98;1867821;270792310,05;3837;
2014-12-08;147,80;147,90;148,00;149,40;147,60;147,80;148,22;1269603;188184447,1;3194;
2014-12-05;148,30;148,50;145,80;148,60;145,80;148,50;147,68;1141455;168566294,5;2304;
2014-12-04;145,30;145,40;146,00;146,70;145,00;145,30;145,84;1313245;191527916,7;2773;
2014-12-03;145,50;145,70;146,00;146,30;144,50;145,60;145,21;1539495;223547442,5;3154;
2014-12-02;146,20;146,30;145,80;148,60;145,20;146,20;146,68;1228926;180264647,55;2690;
2014-12-01;145,50;145,60;148,00;148,20;145,20;145,50;146,57;1486430;217860247,4;3032;
2014-11-28;148,40;148,50;151,20;151,20;145,50;148,40;148,17;2254321;334034748,85;4044;
2014-11-27;151,30;151,40;152,10;153,10;151,00;151,40;151,95;1134910;172499908,55;2612;
2014-11-26;151,30;151,50;153,00;155,20;151,20;151,30;152,35;1341800;204423461,6;2953;
2014-11-25;152,80;152,90;154,80;157,40;152,20;152,80;154,15;3139041;483841233,25;6325;
2014-11-24;154,50;154,60;153,10;154,80;153,00;154,50;154,06;1902910;293154936,09;2600;
2014-11-21;152,70;152,80;151,50;153,20;149,30;152,80;151,94;2353318;357441707,3;4187;
2014-11-20;151,60;151,70;154,00;154,40;151,20;151,60;152,02;1074974;163413089,55;2402;
2014-11-19;153,70;153,80;155,70;155,70;153,50;153,80;154,15;1217816;187722866,4;1725;
2014-11-18;155,40;155,50;152,50;155,70;152,40;155,50;154,62;1394056;215553725,8;2502;
2014-11-17;152,00;152,10;153,00;153,20;150,80;152,10;151,94;1128890;171499457,4;2518;
2014-11-14;153,60;153,70;153,50;154,20;152,20;153,70;153,42;888851;136365689,8;1964;
2014-11-13;153,20;153,30;154,70;155,90;152,80;153,20;154,02;1503065;232805362,95;2476;
2014-11-12;153,80;153,90;157,50;157,60;153,30;153,80;154,79;1668511;258272555,45;3946;
2014-11-11;157,20;157,30;157,80;158,50;156,80;157,30;157,22;841240;132256856,3;1865;
2014-11-10;157,50;157,60;155,90;157,60;155,00;157,50;156,97;1032120;162015602,65;2229;
2014-11-07;157,00;157,10;156,80;159,00;156,10;157,00;157,38;1228549;193332226,7;2338;
2014-11-06;156,00;156,10;153,80;156,30;153,50;156,00;155,58;1319287;205183933,4;2470;
2014-11-05;153,90;154,00;153,10;154,20;151,90;153,90;153,37;1444756;221588320,05;2578;
2014-11-04;152,00;152,20;151,90;153,20;151,10;152,00;152,49;2780101;423983271,6;3928;
2014-11-03;150,80;150,90;152,30;152,50;150,40;150,90;151,50;1440258;218206477,8;2954;
2014-10-31;151,80;152,00;153,30;153,30;150,90;151,80;151,87;1344725;204218620,85;2115;
2014-10-30;151,30;151,50;151,00;153,20;149,60;151,30;151,77;2474284;375569415,45;4380;
2014-10-29;149,60;149,70;150,90;151,00;149,30;149,70;149,86;2900273;434632419,2;4773;
2014-10-28;150,20;150,30;156,00;156,00;147,20;150,20;150,09;5250557;787971770,2;8920;
2014-10-27;155,00;155,10;157,30;157,30;153,50;155,10;155,08;1123153;174179104,3;2940;
2014-10-24;155,20;155,30;156,40;156,40;154,50;155,20;155,50;903384;140479758,3;2350;
2014-10-23;156,40;156,50;152,70;156,80;152,20;156,40;155,31;1816753;282151397,55;4327;
2014-10-22;152,60;152,80;151,50;153,60;150,90;152,80;152,51;1372054;209273470,05;3104;
2014-10-21;151,10;151,20;146,10;151,20;145,80;151,10;149,40;1396247;208619047,85;3303;
2014-10-20;147,10;147,20;149,40;149,40;145,80;147,20;147,28;1074577;158316167,1;2606;
2014-10-17;149,30;149,40;144,80;150,00;143,10;149,40;147,37;2170011;319785013,3;5328;
2014-10-16;144,90;145,00;144,00;145,90;139,90;145,00;142,94;2854170;408029280,35;7301;
2014-10-15;143,50;143,60;148,40;148,80;142,90;143,50;145,07;2018135;293033778,7;4484;
2014-10-14;148,30;148,40;144,50;148,60;144,50;148,40;147,06;1659349;243972179,2;4170;
2014-10-13;145,00;145,10;143,10;146,70;142,80;145,00;145,14;1764081;256034110,9;4434;
2014-10-10;144,20;144,40;148,20;148,20;143,50;144,20;144,70;3311250;479184173,157;7229;
2014-10-09;149,50;149,60;147,70;150,00;147,50;149,50;149,00;1702913;253741099,95;3670;
2014-10-08;145,60;145,70;145,70;146,30;144,00;145,60;145,39;980939;142623626,35;2458;
2014-10-07;146,30;146,40;150,90;150,90;146,00;146,40;147,32;1541615;227426254,6;3151;
2014-10-06;151,20;151,30;150,90;152,30;149,70;151,30;151,34;1305798;197615018,6;2970;
2014-10-03;150,40;150,50;150,60;151,20;149,80;150,50;150,55;651541;98091297,5;1783;
2014-10-02;150,20;150,40;152,90;153,70;150,20;150,20;151,65;1196758;181488110,2;2634;
2014-10-01;152,90;153,00;154,00;154,90;152,90;152,90;153,70;1737763;267105179,1;3999;
2014-09-30;154,40;154,50;151,00;154,80;151,00;154,40;153,33;1634094;250572834,4;3315;
2014-09-29;150,60;150,80;151,40;152,90;149,50;150,60;151,04;1536907;232208592,5;3668;
2014-09-26;149,20;149,30;149,20;149,70;147,70;149,30;149,17;714398;106567404,9;1767;
2014-09-25;149,20;149,30;150,30;151,60;149,10;149,20;150,21;858376;128987303,2;1644;
2014-09-24;150,10;150,20;150,60;150,90;148,30;150,10;149,50;1390020;212385025,45;2621;
2014-09-23;150,30;150,50;152,30;152,50;150,30;150,30;151,30;1045526;158859127,2;2245;
2014-09-22;152,30;152,40;152,10;153,40;151,80;152,40;152,50;609600;93046628,1;1399;
2014-09-19;152,50;152,70;153,60;154,30;152,00;152,50;152,97;1314443;201064348,75;3275;
2014-09-18;152,60;152,70;152,20;154,30;151,40;152,60;152,99;2977112;455543837,99;5580;
2014-09-17;156,00;156,20;153,60;156,70;153,10;156,00;155,75;947728;147612747,65;2465;
2014-09-16;153,60;153,70;153,60;153,90;151,80;153,60;153,09;1265217;193687921,85;2270;
2014-09-15;153,60;153,70;153,80;154,50;152,50;153,60;153,47;962223;147676831,7;2334;
2014-09-12;154,40;154,50;154,40;155,60;153,70;154,40;154,42;1010347;156011967,55;2297;
2014-09-11;153,70;153,80;155,90;156,00;153,70;153,70;154,63;1160603;179450697,3;2622;
2014-09-10;155,50;155,70;155,90;155,90;155,10;155,50;155,47;966202;150218406,4;2599;
2014-09-09;155,80;156,00;157,60;158,10;155,80;155,80;156,53;991401;155184617,4;1989;
2014-09-08;157,60;157,70;159,00;159,00;157,00;157,70;157,59;995001;156908700;1871;
2014-09-05;158,90;159,00;161,30;161,50;158,20;159,00;159,29;710654;113197322,1;1523;
2014-09-04;161,20;161,30;160,90;162,10;160,00;161,30;161,21;725530;116961522,2;1549;
2014-09-03;161,40;161,50;161,80;162,10;160,80;161,50;161,43;740674;119568675;1825;
2014-09-02;161,30;161,40;160,70;161,80;160,00;161,30;161,18;805173;129774837,85;1654;
2014-09-01;159,70;159,80;160,00;160,90;159,20;159,70;159,97;405380;64847815,15;1228;
2014-08-29;159,40;159,60;159,60;160,20;158,30;159,60;159,27;809254;128886657,3;1616;
2014-08-28;159,00;159,10;161,30;161,60;158,90;159,00;159,43;907086;144615493,8;2125;
2014-08-27;161,60;161,70;160,30;161,90;159,20;161,70;160,83;876740;141003294,3;1893;
2014-08-26;160,00;160,10;160,70;160,80;159,40;160,00;159,93;671944;107462128,7;1405;
2014-08-25;160,70;160,80;161,30;161,30;159,70;160,80;160,45;497746;79862821,4;978;
2014-08-22;159,30;159,50;160,10;160,50;158,80;159,30;159,45;616870;98359553;1467;
2014-08-21;159,90;160,10;160,60;161,40;159,70;160,10;160,20;675206;108360319,5;1446;
2014-08-20;160,20;160,40;160,00;161,30;159,20;160,20;160,33;900359;144611957;2199;
2014-08-19;159,80;160,00;160,00;160,60;159,30;160,00;159,87;746975;119419418,1;1798;
2014-08-18;159,50;159,60;159,10;160,00;158,70;159,60;159,40;594777;94820873,2;1766;
2014-08-15;157,40;157,50;158,60;159,20;157,40;157,40;158,21;895108;141611068;1868;
2014-08-14;158,20;158,30;157,30;158,90;156,90;158,20;158,11;955550;151080689,2;2197;
2014-08-13;157,80;157,90;157,20;157,80;156,60;157,80;157,48;1168792;184044627,65;2029;
2014-08-12;156,40;156,50;156,50;158,20;156,20;156,50;157,16;1218004;191420334,75;2560;
2014-08-11;156,80;156,90;154,40;157,10;154,10;156,90;156,24;1447789;225174234,65;2438;
2014-08-08;153,30;153,50;153,00;153,80;151,10;153,30;152,70;1442772;220215961,8;2975;
2014-08-07;152,90;153,10;154,90;155,60;153,00;153,00;154,22;1353127;208851273;2400;
2014-08-06;155,10;155,20;156,70;157,30;154,60;155,10;155,51;1082924;168401646,55;2685;
2014-08-05;156,60;156,70;156,20;156,90;155,60;156,70;156,51;1150736;179813008,6;2226;
2014-08-04;155,90;156,10;156,40;157,80;154,50;156,00;156,25;1164830;182000744,85;3096;
2014-08-01;155,40;155,60;157,10;157,40;154,70;155,40;155,82;1127291;175646939,9;2758;
2014-07-31;157,00;157,10;159,90;159,90;156,40;157,10;157,25;1132201;178041797,2;2867;
2014-07-30;159,70;159,80;160,70;161,30;159,40;159,70;159,99;869332;139082196,2;2131;
2014-07-29;160,70;161,00;161,60;161,90;160,50;160,70;160,85;603358;97047983,4;1646;
2014-07-28;161,10;161,20;162,50;162,60;160,40;161,10;161,53;549240;88716561,9;1652;
2014-07-25;161,90;162,00;163,00;163,90;161,70;161,90;162,53;893734;145376684;1900;
2014-07-24;163,60;163,70;161,80;164,90;161,50;163,70;163,73;1314816;215450950,35;2243;
2014-07-23;161,50;161,60;163,20;163,50;161,30;161,50;162,07;931165;150904211,5;2283;
2014-07-22;163,40;163,50;163,40;164,00;163,10;163,50;163,57;896466;146635385,9;2199;
2014-07-21;162,30;162,40;163,70;163,80;160,10;162,40;161,55;1224408;198013192,8;3101;
2014-07-18;163,70;163,80;166,10;166,40;162,30;163,80;163,69;1492542;244311123,75;3909;
2014-07-17;165,60;165,70;172,10;172,10;165,10;165,60;166,58;3943905;656954104,85;10560;
2014-07-16;171,20;171,50;168,60;171,50;168,60;171,50;170,49;797277;135929355,3;2090;
2014-07-15;168,40;168,50;170,80;170,90;167,70;168,40;168,91;717858;121254219,85;1978;
2014-07-14;170,80;170,90;168,40;171,00;168,00;170,90;170,12;787281;133931369,4;1907;
2014-07-11;167,30;167,40;168,10;168,70;166,50;167,40;167,39;830511;139016571,9;2038;
2014-07-10;167,50;167,60;170,90;170,90;167,30;167,60;168,18;914183;153770315,8;2626;
2014-07-09;170,90;171,00;171,60;172,00;170,30;170,90;170,84;600294;102551431,6;1714;
2014-07-08;171,40;171,50;173,70;174,70;171,40;171,40;172,27;553794;95403826,9;1360;
2014-07-07;173,70;173,80;174,70;175,20;173,60;173,70;174,12;460363;80158947,5;1369;
2014-07-04;174,70;174,90;176,10;176,60;174,70;174,70;175,46;436075;76516813;1170;
2014-07-03;176,10;176,20;171,80;176,20;171,70;176,20;175,18;1112646;194919399,45;2760;
2014-07-02;171,60;171,80;172,50;172,80;171,20;171,80;171,81;609688;104750564,7;1452;
2014-07-01;172,20;172,30;172,50;172,50;170,70;172,20;171,61;778185;133547403,9;2103;
2014-06-30;172,20;172,30;172,00;173,50;171,90;172,20;172,64;902947;155884566,05;2244;
2014-06-27;171,40;171,50;170,50;171,60;169,80;171,50;171,10;694335;118801028,1;1969;
2014-06-26;170,10;170,20;170,20;171,10;169,40;170,10;170,16;878311;149449923,2;2045;
2014-06-25;169,80;169,90;171,10;171,10;168,70;169,80;169,81;1146011;194663076,1;2554;
2014-06-24;171,60;171,70;170,70;171,80;169,90;171,60;171,17;1840254;313589133,9;1892;
2014-06-23;170,50;170,70;167,90;171,40;166,50;170,50;169,80;975614;165689195,7;2269;
2014-06-19;168,80;169,00;170,00;170,10;168,80;168,80;169,23;1469448;248681313,1;2245;
2014-06-18;168,60;168,70;170,80;170,80;168,30;168,60;168,92;1290734;217994906,7;2651;
2014-06-17;170,20;170,50;170,30;171,00;170,00;170,20;170,31;844552;143831574,3;1933;
2014-06-16;170,20;170,30;170,60;171,20;169,80;170,20;170,36;936567;159553500;2491;
2014-06-13;171,60;171,70;171,90;172,00;168,40;171,60;170,12;1498033;254846846,6;3504;
2014-06-12;171,40;171,50;172,70;172,70;170,00;171,40;171,04;813727;139200266,28;2374;
2014-06-11;172,40;172,50;173,60;173,70;171,60;172,40;172,52;735445;126878396,05;2162;
2014-06-10;173,70;173,90;173,10;174,00;173,10;173,80;173,63;814455;141376770,2;1573;
2014-06-09;173,90;174,00;173,90;174,80;172,90;173,90;173,67;1054100;183065720,7;2491;
2014-06-05;172,60;172,70;174,50;174,70;172,30;172,60;173,05;1387082;240031843,4;2893;
2014-06-04;174,70;174,80;174,80;175,70;174,50;174,70;174,90;933749;163317590,83;1667;
2014-06-03;175,30;175,40;176,00;176,10;174,70;175,40;175,26;1099895;192752506,55;1980;
2014-06-02;175,80;176,00;176,00;176,40;175,20;175,80;175,81;792094;139257606,72;1646;
2014-05-30;175,20;175,30;174,00;175,50;173,90;175,30;175,08;1002977;175605541,8;1876;
2014-05-28;174,00;174,10;174,60;174,60;173,20;174,00;173,83;509684;88592412,3;1043;
2014-05-27;174,10;174,20;173,30;174,50;172,50;174,10;173,66;804412;139754773,7;1783;
2014-05-26;173,10;173,30;174,90;174,90;173,00;173,10;173,26;620261;107464533,55;1438;
2014-05-23;173,80;173,90;173,40;173,90;172,00;173,90;172,96;746315;129086221,5;1709;
2014-05-22;173,10;173,20;170,90;173,50;170,30;173,10;172,31;1038137;178875313,85;2469;
