sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;837,00;838,50;844,00;845,50;836,50;837,50;840,69;221021;185810218;1232;
2014-12-29;841,00;842,00;840,00;845,50;837,50;841,50;841,41;201065;166988285,25;1349;
2014-12-23;837,00;837,50;822,00;838,50;818,50;837,50;829,84;291069;236866332;2108;
2014-12-22;822,50;823,00;811,00;823,00;810,00;823,00;817,49;277151;219507589,25;1514;
2014-12-19;810,50;811,00;800,00;812,50;792,50;811,00;802,17;265508;212980883;1701;
2014-12-18;798,50;799,00;787,50;801,00;787,50;798,50;795,11;261269;207735661,75;1658;
2014-12-17;776,50;777,00;773,50;778,00;769,00;776,50;772,60;177507;137142032,5;1288;
2014-12-16;779,00;779,50;775,00;780,00;765,00;779,00;772,76;260561;201350909;1933;
2014-12-15;769,00;769,50;763,00;773,50;761,50;769,50;768,89;148361;114072993;1172;
2014-12-12;762,50;763,00;772,00;773,00;763,00;763,00;766,83;151859;116450716;1167;
2014-12-11;774,50;775,50;768,00;778,50;766,50;775,50;773,13;248843;192388645,5;1736;
2014-12-10;774,50;775,00;785,00;788,50;773,00;774,50;780,98;172572;134775597;1228;
2014-12-09;779,00;781,00;785,50;787,00;775,50;779,00;781,67;444150;347206824;2649;
2014-12-08;791,50;792,50;797,00;799,50;790,00;792,00;794,66;143535;114061778,5;1079;
2014-12-05;794,50;795,00;786,50;801,00;785,50;795,00;795,67;337356;268442605,662;2314;
2014-12-04;784,00;785,50;778,00;799,00;778,00;785,50;789,88;625938;494381443,508;3786;
2014-12-03;763,00;764,50;746,00;764,50;746,00;764,00;758,30;341525;258977777;1808;
2014-12-02;745,50;746,50;733,50;747,50;733,50;746,00;741,47;148128;109833080;1118;
2014-12-01;733,50;734,00;736,00;741,00;732,00;734,00;736,84;208133;153364301,5;1259;
2014-11-28;737,00;737,50;735,00;738,50;726,50;737,00;732,20;248313;181848268,685;1173;
2014-11-27;735,00;735,50;732,00;736,00;728,50;735,50;733,25;111503;81759607;914;
2014-11-26;730,00;730,50;737,00;739,50;729,00;730,50;733,37;135683;99505789;1123;
2014-11-25;736,50;737,50;740,50;743,00;735,00;737,00;738,93;311247;229985936,244;1512;
2014-11-24;740,00;740,50;743,00;746,50;739,00;740,50;743,10;271018;200821681,7;1468;
