sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;17,10;17,12;17,27;17,30;16,80;17,10;17,02;3991937;67946555,49;2737;
2014-12-29;17,56;17,59;17,00;17,59;17,00;17,56;17,33;4629228;80227405,85;2985;
2014-12-23;16,45;16,50;16,55;16,64;16,05;16,45;16,39;2657964;45360849,29;1676;
2014-12-22;16,48;16,50;16,22;17,10;16,21;16,50;16,75;5769356;96632118,77;3534;
2014-12-19;15,93;15,94;15,73;16,18;15,47;15,94;15,87;4470066;70921710,4;3307;
2014-12-18;15,80;15,82;15,76;16,43;15,36;15,81;16,02;9444526;151275273,85;6313;
2014-12-17;15,05;15,10;14,15;15,11;13,90;15,10;14,39;4339846;62454955,445;3090;
2014-12-16;14,40;14,44;13,40;14,44;13,39;14,44;13,91;4208082;58530721,565;2859;
2014-12-15;13,45;13,50;13,62;14,63;13,45;13,45;14,13;4390831;62063205,17;3421;
2014-12-12;13,70;13,74;13,82;13,82;12,82;13,70;13,27;8389732;111334251,85;5233;
2014-12-11;14,28;14,30;15,20;15,20;14,05;14,29;14,54;6306664;91693866,67;4621;
2014-12-10;15,35;15,37;15,60;16,08;15,12;15,35;15,59;4059047;63294067,29;2526;
2014-12-09;15,50;15,51;16,63;16,69;15,48;15,50;15,90;5728798;91107256,33;4045;
2014-12-08;17,00;17,08;17,85;17,99;16,93;17,00;17,41;1935402;33688976,96;1802;
2014-12-05;17,90;17,94;18,40;18,44;17,75;17,90;17,98;1530823;27525521,82;1376;
2014-12-04;18,26;18,27;18,50;18,98;17,82;18,27;18,33;2271243;41627642,73;2105;
2014-12-03;18,41;18,43;17,40;18,59;17,38;18,43;18,28;5733181;104780037,222;4023;
2014-12-02;17,29;17,30;17,66;18,10;17,00;17,30;17,46;4681238;81728908,955;3843;
2014-12-01;17,28;17,32;19,60;19,61;17,13;17,30;18,21;10118864;184255534,095;7111;
2014-11-28;20,20;20,21;22,57;22,57;19,60;20,21;20,41;8229545;168031537,675;6226;
2014-11-27;22,80;22,85;23,20;23,20;22,66;22,85;22,82;957424;21847389,88;1060;
2014-11-26;23,10;23,13;23,29;23,35;22,95;23,11;23,14;1266760;29306742,36;1290;
2014-11-25;23,30;23,42;23,43;23,59;23,20;23,40;23,37;1174930;27462657,86;1077;
2014-11-24;23,16;23,27;22,98;23,30;22,95;23,27;23,14;821370;19006437;850;
2014-11-21;22,85;22,87;23,10;23,38;22,75;22,87;23,06;1181267;27245875,045;1351;
2014-11-20;23,00;23,01;23,40;23,41;22,95;23,00;23,16;1174138;27188057,58;1298;
2014-11-19;23,54;23,56;23,65;23,75;23,42;23,56;23,54;518440;12202116,27;666;
2014-11-18;23,53;23,60;23,56;23,79;23,50;23,60;23,61;854917;20187181,04;1121;
2014-11-17;23,56;23,58;23,90;23,95;23,50;23,56;23,70;1261647;29904561,515;1506;
2014-11-14;23,59;23,60;22,90;23,78;22,80;23,60;23,34;1473744;34388107,23;1668;
