sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;200,70;200,90;203,70;203,70;200,20;200,90;201,35;366111;73715865;864;
2014-12-29;203,90;204,00;203,30;204,20;202,80;203,90;203,62;265035;53965918,1;794;
2014-12-23;202,70;203,10;199,00;203,10;199,00;203,10;202,05;431984;87280610;977;
2014-12-22;199,40;199,60;199,50;201,20;198,00;199,60;199,89;774088;153883427,75;1149;
2014-12-19;199,30;199,60;197,00;200,00;196,00;199,60;198,28;1051897;208569859,4;2038;
2014-12-18;196,40;196,50;194,20;196,50;192,90;196,50;195,34;737158;143994208,9;1643;
2014-12-17;190,90;191,00;189,10;192,30;189,10;190,90;190,96;636670;121578863,3;1457;
2014-12-16;191,60;191,70;191,60;192,20;189,10;191,60;190,69;1150388;219363980,7;2464;
2014-12-15;191,30;191,50;193,00;195,60;191,30;191,30;192,88;838966;161783003,7;1827;
2014-12-12;192,10;192,20;194,50;195,10;192,10;192,10;193,42;617520;119444486,55;1280;
2014-12-11;194,80;194,90;195,60;196,60;191,80;194,90;195,04;578130;112756308,9;1390;
2014-12-10;195,70;195,90;196,60;198,60;195,10;195,90;196,77;797409;156960944,9;1508;
2014-12-09;195,90;196,00;197,60;198,20;195,20;196,00;196,58;687138;135089452,3;1324;
2014-12-08;199,20;199,40;198,60;200,30;198,40;199,20;199,39;354272;70638499,6;915;
2014-12-05;199,20;199,50;196,00;199,80;194,90;199,50;197,97;715303;141595411,05;1268;
2014-12-04;194,10;194,20;196,00;197,70;194,10;194,10;195,28;609299;118981537,5;1281;
2014-12-03;195,30;195,70;193,10;195,70;192,80;195,70;194,32;873994;169832517,6;1334;
2014-12-02;192,70;192,80;192,60;196,80;192,10;192,80;193,18;1719297;332134370,05;2598;
2014-12-01;191,70;191,80;197,00;197,60;191,70;191,80;193,98;1341036;260133797,1;2418;
2014-11-28;198,10;198,30;201,30;201,30;196,60;198,10;198,19;577223;114401489,7;1155;
2014-11-27;200,80;200,90;202,80;203,10;200,50;200,90;201,40;437200;88051994,3;866;
2014-11-26;201,60;201,80;201,80;204,30;201,10;201,60;202,30;725440;146756170,5;1807;
2014-11-25;201,40;201,80;200,30;202,00;200,00;201,80;201,15;574811;115623833,3;1097;
2014-11-24;200,20;200,50;200,80;200,90;198,90;200,50;200,03;402266;80464372,3;1055;
2014-11-21;200,20;200,90;195,20;200,90;195,20;200,90;198,80;685268;136232485,7;1738;
2014-11-20;195,80;195,90;196,00;196,40;193,70;195,80;195,34;938692;183362730,85;2400;
2014-11-19;196,10;196,20;199,20;199,20;195,90;196,10;197,13;394706;77810440,4;1131;
2014-11-18;199,00;199,10;197,40;199,20;197,00;199,10;198,54;689808;136957486,5;1452;
2014-11-17;197,30;197,40;197,00;197,90;196,50;197,40;197,19;330774;65224284,7;885;
2014-11-14;198,60;198,90;200,00;200,20;197,80;198,60;198,95;462452;92007199,85;1248;
2014-11-13;200,00;200,10;200,00;201,10;198,80;200,10;200,12;322724;64582518,5;943;
2014-11-12;198,60;198,80;199,60;200,10;198,60;198,60;199,30;548412;109297446,9;1596;
2014-11-11;199,10;199,30;199,40;199,50;197,00;199,30;198,71;334175;66403642,75;914;
2014-11-10;198,40;198,50;195,10;199,60;194,50;198,50;198,51;571578;113464313,6;1734;
2014-11-07;193,70;193,80;195,40;197,10;193,20;193,80;195,18;490303;95692647,9;1410;
2014-11-06;194,70;194,80;193,20;195,60;193,20;194,70;194,62;821291;159804155,7;1575;
2014-11-05;193,70;193,90;194,20;194,50;192,90;193,70;193,65;743462;143971342,8;1723;
2014-11-04;192,90;193,00;192,50;195,10;192,20;192,90;193,58;703915;136262478,1;1786;
2014-11-03;193,10;193,20;195,40;196,10;192,60;193,10;194,51;594800;115691975,3;1605;
2014-10-31;194,30;195,10;194,50;195,00;191,90;195,00;193,72;505832;97986053,9;1293;
2014-10-30;192,60;192,70;190,80;192,90;189,40;192,60;190,79;910520;173721469;2258;
2014-10-29;189,70;190,00;188,90;191,40;188,60;190,00;190,01;590998;112293964,5;1557;
2014-10-28;188,20;188,30;186,50;188,60;185,20;188,20;187,57;595248;111652113,05;1899;
2014-10-27;185,20;185,30;186,00;186,50;183,20;185,30;184,84;389668;72024426,9;1359;
2014-10-24;184,50;184,60;184,50;185,30;182,40;184,50;183,95;476749;87703126,9;1357;
2014-10-23;185,00;185,10;181,40;185,10;179,40;185,10;183,02;663551;121437250,7;1810;
2014-10-22;181,10;181,20;183,60;183,70;180,50;181,10;181,48;749786;136068246;1867;
2014-10-21;182,20;182,40;178,80;182,50;176,60;182,40;180,15;1192439;214790363,35;3161;
2014-10-20;179,60;179,70;177,10;183,10;172,90;179,60;178,88;1344558;240515952,5;4098;
2014-10-17;177,20;177,30;171,00;177,30;169,80;177,30;174,71;991515;173163513,2;2482;
